"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"17-May-2024","EQ","2,846.10","2,874.40","2,826.50","2,850.70","2,870.10","2,871.40","2,859.68","3,024.90","2,220.30","54,58,238","15,60,87,99,277.70","2,00,677"
"16-May-2024","EQ","2,837.10","2,855.00","2,796.05","2,832.55","2,851.00","2,850.70","2,830.30","3,024.90","2,220.30","73,55,887","20,81,93,70,913.85","3,59,411"
"15-May-2024","EQ","2,841.00","2,859.95","2,826.05","2,840.15","2,831.70","2,832.55","2,841.94","3,024.90","2,220.30","25,23,267","7,17,09,75,946.20","1,47,326"
"14-May-2024","EQ","2,801.95","2,854.15","2,800.05","2,805.40","2,839.00","2,840.15","2,834.55","3,024.90","2,220.30","35,94,150","10,18,77,93,904.10","2,48,782"
"13-May-2024","EQ","2,799.80","2,813.95","2,768.00","2,814.85","2,805.00","2,805.40","2,795.26","3,024.90","2,220.30","42,28,310","11,81,92,08,707.95","2,00,542"
"10-May-2024","EQ","2,793.50","2,820.00","2,776.15","2,788.25","2,808.00","2,814.85","2,800.80","3,024.90","2,220.30","52,52,548","14,71,13,41,390.80","2,38,752"
"09-May-2024","EQ","2,826.00","2,847.50","2,780.00","2,837.10","2,785.00","2,788.25","2,800.69","3,024.90","2,220.30","55,04,806","15,41,72,56,016.70","2,80,459"
"08-May-2024","EQ","2,795.00","2,865.90","2,795.00","2,802.95","2,834.25","2,837.10","2,834.70","3,024.90","2,220.30","47,19,501","13,37,83,80,314.55","1,91,054"
"07-May-2024","EQ","2,831.95","2,841.50","2,784.00","2,839.05","2,808.00","2,802.95","2,804.43","3,024.90","2,220.30","72,58,736","20,35,65,96,310.45","3,08,242"
"06-May-2024","EQ","2,871.00","2,880.00","2,836.00","2,868.00","2,843.40","2,839.05","2,851.80","3,024.90","2,220.30","36,97,104","10,54,34,11,394.40","1,68,077"
"03-May-2024","EQ","2,942.00","2,949.90","2,832.30","2,933.10","2,871.00","2,868.00","2,876.27","3,024.90","2,220.30","86,13,479","24,77,47,10,139.90","3,58,280"
"02-May-2024","EQ","2,944.00","2,954.65","2,928.25","2,934.00","2,938.10","2,933.10","2,941.23","3,024.90","2,220.30","72,56,323","21,34,25,18,418.90","3,06,721"
"30-Apr-2024","EQ","2,936.00","2,966.15","2,925.75","2,930.05","2,932.00","2,934.00","2,947.60","3,024.90","2,220.30","57,37,131","16,91,07,77,825.20","2,10,901"
"29-Apr-2024","EQ","2,900.00","2,935.80","2,900.00","2,905.10","2,927.50","2,930.05","2,926.58","3,024.90","2,220.30","36,23,987","10,60,58,75,230.60","1,58,806"
"26-Apr-2024","EQ","2,927.90","2,930.00","2,900.00","2,919.95","2,908.50","2,905.10","2,911.85","3,024.90","2,220.30","47,06,924","13,70,58,73,642.80","2,08,164"
"25-Apr-2024","EQ","2,885.00","2,935.95","2,883.00","2,900.35","2,917.70","2,919.95","2,914.62","3,024.90","2,220.30","79,71,963","23,23,52,72,655.30","2,36,911"
